INSTANCE;BEST
2000-100.tsp;32448466
2000-159.tsp;32534563
2000-160.tsp;32103463
2000-171.tsp;32764133
2000-184.tsp;32877566
2000-246.tsp;32298134
2000-256.tsp;32658362
2000-267.tsp;32815190
2000-294.tsp;32422116
2000-355.tsp;32449289
2000-365.tsp;32424186
2000-380.tsp;32614691
2000-382.tsp;32657196
2000-41.tsp;32352541
2000-451.tsp;32328197
2000-463.tsp;32400007
2000-464.tsp;32508504
2000-474.tsp;32416588
2000-52.tsp;32180447
2000-542.tsp;32439579
2000-556.tsp;32316163
2000-575.tsp;32822360
2000-599.tsp;32465359
2000-650.tsp;32571679
2000-660.tsp;32209375
2000-669.tsp;32154053
2000-690.tsp;32594405
2000-750.tsp;32503850
2000-760.tsp;32053075
2000-770.tsp;32274253
2000-780.tsp;32686190
2000-845.tsp;32396051
2000-855.tsp;32669413
2000-86.tsp;32378460
2000-865.tsp;32572627
2000-875.tsp;32445693
2000-947.tsp;32456567
2000-957.tsp;32443553
2000-967.tsp;32213701
2000-977.tsp;32188959
