network_name;problem_type;number_of_runs;best_known_solution;components;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;average_regular_in_degree;average_elite_in_degree;average_elite_out_degree;best_nodes;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BH-L0;min;20;0.11904422;3660;17275;16819;456;3660;0;354;13615;1222;0;12393;0.786134728580772;0.861842105263158;29.8574561403509;1;1;0;0.05;0;0;0;5;1;5.78871201157742e-05;0.973603473227207;0.0263965267727931;0.211866859623734;0;0.0204920405209841;0.0897539478516342;0;0.910246052148366
BH-L1;min;20;0.11904422;3660;17275;16819;456;3660;0;354;13615;1222;0;12393;0.786134728580772;0.861842105263158;29.8574561403509;1;1;0;0.05;0;0;0;5;1;5.78871201157742e-05;0.973603473227207;0.0263965267727931;0.211866859623734;0;0.0204920405209841;0.0897539478516342;0;0.910246052148366
BH-L2;min;20;0.11904422;3635;16998;16545;453;3660;0;344;13508;1250;0;12258;0.791477787851315;0.911699779249448;29.8189845474614;1;1;0;0.05;0;0;0;5;1;5.88304506412519e-05;0.973349805859513;0.0266501941404871;0.215319449346982;0;0.0202376750205907;0.0925377554042049;0;0.907462244595795
BH-L3;min;20;0.11904422;3608;15356;14925;431;3658;0;300;12947;1360;0;11587;0.828006700167504;1.36658932714617;30.0394431554524;1;1;0;0.05;0;0;0;13.7142857142857;7;6.51211252930451e-05;0.971932794998698;0.0280672050013024;0.238213076321959;0;0.0195363375879135;0.105043639453155;0;0.894956360546845
BH-L4;min;20;0.11904422;3521;13058;12658;400;3649;0;240;12073;1582;0;10491;0.876362774529941;2.45;30.1825;1;1;0;0.05;0;0;0;11.4375;32;7.65814060346148e-05;0.969367437586154;0.0306325624138459;0.279445550620309;0;0.0183795374483076;0.131036196471465;0;0.868963803528535
BH-L5;min;20;0.11904422;3285;11064;10692;372;3610;0;201;11348;1624;0;9724;0.923868312757202;3.95161290322581;30.505376344086;1;7;0;0.55;0;0;0;5.76744186046512;43;9.03832248734635e-05;0.966377440347072;0.0336225596529284;0.326283441793203;0;0.0181670281995662;0.14310891787099;0;0.85689108212901
BH-90-L0;min;20;0.12464368;1800;10599;10144;455;1800;0;1800;8799;898;0;7901;0.830343059936908;0.826373626373626;19.3384615384615;1;1;59;0.1;0;0;1;6;1;9.43485234456081e-05;0.957071421832248;0.0429285781677517;0.169827342202095;0;0.169827342202095;0.10205705193772;0;0.89794294806228
BH-90-L1;min;20;0.12464368;1800;10599;10144;455;1800;0;1800;8799;898;0;7901;0.830343059936908;0.826373626373626;19.3384615384615;1;1;59;0.1;0;0;1;6;1;9.43485234456081e-05;0.957071421832248;0.0429285781677517;0.169827342202095;0;0.169827342202095;0.10205705193772;0;0.89794294806228
BH-90-L2;min;20;0.12464368;1783;10481;10027;454;1800;0;1728;8738;896;0;7842;0.833050762940062;0.848017621145374;19.2466960352423;1;1;58;0.1;0;0;1;6;1;9.54107432496899e-05;0.956683522564641;0.0433164774353592;0.171739337849442;0;0.164869764335464;0.1025406271458;0;0.8974593728542
BH-90-L3;min;20;0.12464368;1760;9698;9256;442;1800;0;1454;8440;927;0;7513;0.860414866032844;1.07692307692308;19.0950226244344;1;1;51;0.1;0;0;1;6;1;0.000103114044132811;0.954423592493298;0.0455764075067024;0.18560527943906;0;0.149927820169107;0.109834123222749;0;0.890165876777251
BH-90-L4;min;20;0.12464368;1717;8290;7867;423;1798;0;1058;7997;1118;0;6879;0.926147197152663;1.68085106382979;18.9054373522459;1;2;32;0.15;0;0;1;6;1;0.000120627261761158;0.94897466827503;0.0510253317249698;0.216887816646562;0;0.127623642943305;0.139802425909716;0;0.860197574090284
BH-90-L5;min;20;0.12464368;1643;7003;6607;396;1792;0;747;7560;1231;0;6329;0.972453458453156;2.86616161616162;19.0909090909091;1;2;27;0.25;0;0;1;13.275;40;0.000142795944595173;0.943452805940311;0.0565471940596887;0.255890332714551;0;0.106668570612595;0.162830687830688;0;0.837169312169312
BL-L0;min;20;0.10114175;1820;8875;8439;436;1820;0;230;7055;890;0;6165;0.7940514278943;0.811926605504587;16.1811926605505;1;1;0;0.05;0;0;0;3;1;0.000112676056338028;0.95087323943662;0.0491267605633803;0.205070422535211;0;0.0259154929577465;0.126151665485471;0;0.873848334514529
BL-L1;min;20;0.10114175;1820;8875;8439;436;1820;0;230;7055;890;0;6165;0.7940514278943;0.811926605504587;16.1811926605505;1;1;0;0.05;0;0;0;3;1;0.000112676056338028;0.95087323943662;0.0491267605633803;0.205070422535211;0;0.0259154929577465;0.126151665485471;0;0.873848334514529
BL-L2;min;20;0.10114175;1811;8850;8414;436;1820;0;230;7046;893;0;6153;0.795341098169717;0.811926605504587;16.1605504587156;1;1;0;0.05;0;0;0;3;1;0.000112994350282486;0.950734463276836;0.0492655367231638;0.205649717514124;0;0.0259887005649717;0.126738575078058;0;0.873261424921941
BL-L3;min;20;0.10114175;1783;8492;8064;428;1818;0;219;6926;907;0;6019;0.808159722222222;0.955607476635514;16.1822429906542;1;1;0;0.1;0;0;0;4;1;0.000117757889778615;0.949599623174753;0.0504003768252473;0.214083843617522;0;0.0257889778615167;0.130955818654346;0;0.869044181345654
BL-L4;min;20;0.10114175;1744;7721;7313;408;1812;0;210;6738;946;0;5792;0.848625734992479;1.30392156862745;16.5147058823529;1;1;61;0.1;0;0;0;2;1;0.000129516901955705;0.947157104002072;0.0528428959979277;0.234684626343738;0;0.0271985494106981;0.140397744137726;0;0.859602255862274
BL-L5;min;20;0.10114175;1629;6654;6270;384;1785;0;194;6487;1065;0;5422;0.901116427432217;2.1796875;16.8932291666667;1;1;60;0.1;0;0;0;2;1;0.000150285542530809;0.94229035166817;0.0577096483318305;0.268259693417493;0;0.0291553952509769;0.164174502851858;0;0.835825497148142
BL-45-L0;min;20;0.1372784;900;5538;5107;431;900;0;900;4638;584;0;4054;0.837086352065792;0.842227378190255;10.7610208816705;1;1;0;0.05;0;0;1;10;1;0.000180570603105814;0.922174070061394;0.077825929938606;0.162513542795233;0;0.162513542795233;0.125916343251401;0;0.874083656748599
BL-45-L1;min;20;0.1372784;900;5538;5107;431;900;0;900;4638;584;0;4054;0.837086352065792;0.842227378190255;10.7610208816705;1;1;0;0.05;0;0;1;10;1;0.000180570603105814;0.922174070061394;0.077825929938606;0.162513542795233;0;0.162513542795233;0.125916343251401;0;0.874083656748599
BL-45-L2;min;20;0.1372784;900;5531;5100;431;900;0;897;4633;584;0;4049;0.837254901960784;0.842227378190255;10.7494199535963;1;1;0;0.05;0;0;1;10;1;0.000180799132164166;0.922075574037245;0.0779244259627554;0.162719218947749;0;0.162176821551257;0.126052233973667;0;0.873947766026333
BL-45-L3;min;20;0.1372784;875;5357;4930;427;900;0;826;4561;578;0;3983;0.84604462474645;0.913348946135831;10.6814988290398;1;1;0;0.05;0;0;1;10;1;0.000186671644577189;0.92029120776554;0.0797087922344596;0.16800448011947;0;0.154190778420758;0.126726595044946;0;0.873273404955054
BL-45-L4;min;20;0.1372784;865;4963;4551;412;898;0;732;4427;628;0;3799;0.871676554603384;1.11650485436893;10.745145631068;1;2;0;0.25;0;0;1;12.8333333333333;6;0.000201491033649003;0.916985694136611;0.0830143058633891;0.180938948216804;0;0.14749143663107;0.141856787892478;0;0.858143212107522
BL-45-L5;min;20;0.1372784;832;4398;4011;387;892;0;618;4293;691;0;3602;0.923460483669908;1.52196382428941;11.093023255814;1;1;0;0.15;0;0;1;24.32;25;0.00022737608003638;0.912005457025921;0.0879945429740791;0.202819463392451;0;0.140518417462483;0.160959701840205;0;0.839040298159795
